_id,quantity_cases,quantity_units,item,order
1,2,0,2,2
2,2,0,2,4
3,2,0,3,6
4,2,0,2,10
5,2,0,2,11
6,2,0,3,11
7,0,0,133,13
8,0,2,133,14
9,2,0,2,15
10,0,5,3,16
11,0,2,10,17
12,0,2,11,17
14,1,0,5,18
15,2,0,3,19
16,0,1,2,20
17,1,0,2,21
18,0,100,91,22
19,0,130,91,23
20,0,1,116,24
21,0,100,138,25
22,0,1,138,26
23,0,50,139,27
24,1,0,140,28
25,1,0,140,29
26,0,12,116,30
27,0,12,116,31
28,0,12,116,32
29,2,34,126,33
32,0,12,116,36
33,2,34,126,37
34,0,1,116,38
35,1,2,53,39
36,0,9,137,40
37,0,12,137,41
38,0,7,27,42
39,0,1,116,43
40,0,10,47,44
41,0,55,109,45
42,0,12,43,46
43,0,2,116,47
44,0,3,99,48
45,0,48,123,49
46,0,12,116,49
47,0,2,103,49
48,0,28,85,50
49,0,96,129,51
50,0,50,128,51
51,0,1,126,52
52,0,1,126,53
53,0,3,137,54
54,0,8,137,55
55,0,24,53,56
56,0,48,53,57
57,0,35,36,58
58,0,3,116,59
59,0,20,126,60
60,1,0,137,61
61,0,3,137,62
62,0,16,137,63
63,0,12,137,64
64,0,8,137,65
65,1,2,40,66
66,0,4,28,67
67,0,50,32,68
68,0,10,91,68
69,0,10,62,68
70,1,2,43,68
71,0,24,9,68
72,0,4,116,69
73,0,30,40,70
74,0,5,91,71
75,0,2,103,72
76,0,4,137,73
77,0,4,137,74
78,0,5,137,75
79,0,10,123,76
80,2,24,53,77
81,0,25,13,78
82,1,48,126,79
83,0,30,110,80
84,1,48,126,81
85,0,30,110,82
86,2,24,53,83
87,0,25,13,84
88,0,10,123,85
89,0,7,126,86
90,0,1,53,87
91,1,48,74,88
92,1,48,91,88
93,1,12,39,89
94,0,30,13,90
95,0,12,137,91
96,0,20,137,92
97,1,2,53,93
98,1,2,91,93
99,1,12,53,94
100,0,2,64,95
101,0,1,91,96
102,0,1,74,96
103,0,1,42,96
104,0,1,126,96
105,0,12,98,97
106,0,28,62,97
107,1,2,126,98
108,1,48,53,99
109,0,3,116,100
110,1,9,13,101
111,0,1,114,101
112,1,8,116,101
113,1,48,53,102
114,0,3,116,103
115,1,9,13,104
116,0,1,114,104
117,1,8,116,104
118,1,0,137,105
119,1,12,141,106
120,0,48,91,107
121,0,48,53,107
122,0,48,91,108
123,0,48,53,108
124,1,2,74,109
125,0,24,95,110
126,0,35,64,111
127,0,1,13,112
128,1,36,74,113
129,5,5,99,114
130,4,8,74,115
131,0,25,89,116
132,1,32,94,117
133,0,12,61,118
134,0,12,43,119
135,0,6,137,120
136,0,9,137,121
137,0,4,137,122
138,0,8,137,123
139,1,1,118,124
140,1,27,53,125
141,1,2,52,126
142,0,2,126,127
143,0,55,83,128
144,0,14,123,129
145,0,8,53,129
146,0,60,141,130
147,0,6,137,131
148,0,7,137,132
149,0,12,137,133
150,0,12,137,134
151,0,2,86,135
152,0,1,87,136
153,0,1,74,136
154,1,48,36,137
155,0,2,86,138
156,0,3,99,139
157,0,1,116,140
158,0,1,108,141
159,0,48,123,142
160,0,1,94,142
161,0,6,127,142
162,0,3,99,143
163,0,1,116,144
164,0,1,108,145
