_id,user,filename,kind,createdAt
1,7,/var/www/private/upload/Artisano_Designs_Inventory_06152018.csv,inventory,2018-06-16 03:02:22
2,7,/var/www/private/upload/Artisano_Designs_Inventory_2_06152018.csv,inventory,2018-06-16 03:07:43
3,1,/var/www/private/upload/testinv1.txt,inventory,2018-06-16 12:43:04
4,1,/var/www/private/upload/testinv1_-_Copy.txt,inventory,2018-06-16 13:00:41
5,1,/var/www/private/upload/testinv1_-_Copy.txt,inventory,2018-06-16 13:02:43
6,7,/var/www/private/upload/Artisano_Designs_Inventory_2_06152018-T.csv,inventory,2018-06-16 13:05:07
7,6,/var/www/private/upload/Records_On_Wall_Inventory_06152018.csv,inventory,2018-06-16 14:02:19
8,4,/var/www/private/upload/Records_On_Wall_Inventory_06152018_2.csv,inventory,2018-06-16 14:17:29
9,5,/var/www/private/upload/Test_Order_Upload_File-0617.csv,order,2018-06-17 15:47:48
10,5,/var/www/private/upload/Test_Order_Upload_File-0617_2.csv,order,2018-06-17 15:52:41
11,5,/var/www/private/upload/Test_Order_Upload_File-0617_3.csv,order,2018-06-18 00:34:02
12,7,/var/www/private/upload/USOrders-06-18-2018.csv,order,2018-06-18 15:46:03
13,6,/var/www/private/upload/RoW-5266-5263.csv,order,2018-06-18 18:22:10
14,5,/var/www/private/upload/TestOrders-06-18-2018_1.csv,order,2018-06-19 00:03:27
15,6,/var/www/private/upload/Records_On_Wall_Inventory_06182018.csv,inventory,2018-06-19 00:08:49
16,5,/var/www/private/upload/Test_Inventory_06182018_new.csv,inventory,2018-06-19 00:24:38
17,5,/var/www/private/upload/Test_06182018.csv,inventory,2018-06-19 00:25:57
18,5,/var/www/private/upload/Test-ofROW-0618.csv,order,2018-06-19 00:33:46
19,5,/var/www/private/upload/Test-ofROW-0618_1.csv,order,2018-06-19 00:36:37
20,5,/var/www/private/upload/Test-ofROW-0618_3.csv,order,2018-06-19 00:38:23
21,5,/var/www/private/upload/Test-ofROW-0618_4.csv,order,2018-06-19 00:51:05
22,5,/var/www/private/upload/Test-ofROW-0618_4-T.csv,order,2018-06-19 10:23:03
23,5,/var/www/private/upload/Test-ofROW-0618_4-T2.csv,order,2018-06-19 10:33:17
24,5,/var/www/private/upload/Test-ofROW-0618_4-T3.csv,order,2018-06-19 10:42:23
25,7,/var/www/private/upload/USOrders-06-19-2018.csv,order,2018-06-19 15:36:37
26,7,/var/www/private/upload/USOrders-06-19-2018-1.csv,order,2018-06-19 15:39:03
27,7,/var/www/private/upload/USOrders-06-19-2018-2.csv,order,2018-06-19 15:54:48
28,6,/var/www/private/upload/RoW-5267.csv,order,2018-06-19 17:55:18
29,5,/var/www/private/upload/Test-ofROW-0619.csv,order,2018-06-20 01:24:17
30,5,/var/www/private/upload/Test-ofROW-0619_2.csv,order,2018-06-20 01:28:21
31,7,/var/www/private/upload/USOrders-06-19-2018-3.csv,order,2018-06-20 16:25:25
32,7,/var/www/private/upload/USOrders-06-20-2018.csv,order,2018-06-20 16:25:37
33,7,/var/www/private/upload/USOrders-06-21-2018.csv,order,2018-06-22 13:50:28
34,6,/var/www/private/upload/RoW-5268.csv,order,2018-06-22 15:45:55
35,6,/var/www/private/upload/RoW-5267_edit1.csv,order,2018-06-22 15:47:04
36,6,/var/www/private/upload/RoW-5268_edit1.csv,order,2018-06-22 15:48:20
37,7,/var/www/private/upload/USOrders-06-22-2018.csv,order,2018-06-22 17:28:57
38,7,/var/www/private/upload/USOrders-06-25-2018.csv,order,2018-06-25 15:46:36
39,7,/var/www/private/upload/USOrders-06-26-2018.csv,order,2018-06-26 15:33:12
40,7,/var/www/private/upload/USOrders-06-27-2018.csv,order,2018-06-27 17:00:22
41,7,/var/www/private/upload/USOrders-06-27-2018-1.csv,order,2018-06-27 17:02:44
42,6,/var/www/private/upload/RoW-5271-5270.csv,order,2018-06-27 18:52:25
43,7,/var/www/private/upload/USOrders-06-28-2018.csv,order,2018-06-28 16:21:21
44,7,/var/www/private/upload/USOrders-06-29-2018.csv,order,2018-06-29 16:39:32
45,6,/var/www/private/upload/RoW-5277-5276.csv,order,2018-07-02 17:09:55
46,7,/var/www/private/upload/USOrders-07-02-2018.csv,order,2018-07-03 14:50:29
47,6,/var/www/private/upload/RoW-5279-5278.csv,order,2018-07-03 16:20:15
48,7,/var/www/private/upload/USOrders-07-03-2018.csv,order,2018-07-03 17:12:10
49,7,/var/www/private/upload/USOrders-07-04-2018.csv,order,2018-07-05 17:00:49
50,6,/var/www/private/upload/RoW-5282-5281-5280.csv,order,2018-07-05 17:49:22
