_id,user,name,number,case_quantity,description,qoh_case,qoh_units,case_weight,reorder_quantity,length,width,height,ship_ready,field15,field16,field17,field18,field19,field20,field21
60e5a6b920d52d35ed964c48,60e5a6b920d52d35ed964c2b,Angel w/Baby Figurine,A41012,96,Cherished Blessings Angel & Baby Figurine,1,86,17,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c49,60e5a6b920d52d35ed964c29,Test Item 123,ABC123,10,Test Item 123,3,4,10,2,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c4a,60e5a6b920d52d35ed964c29,Test Item 234,ABC234,20,Test Item 234,38,13,25,0,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c4b,60e5a6b920d52d35ed964c25,Angel wBaby - Laser Etched (4pk),A51200,24,Angel wBaby - Laser Etched (4pk),0,0,53,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c4c,60e5a6b920d52d35ed964c25,BAMBOO CHEESE BOARD,A35000,96,CHEESE BOARD,16,14,35,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c4d,60e5a6b920d52d35ed964c25,BEARS BEST WISHES,A11003,72,BRUSHED PHOTO FRAMEIN GIFTBOX,7,50,25,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c4e,60e5a6b920d52d35ed964c25,BEE SWEET SOAP,A75006,96,SOAP,11,1,8,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c4f,60e5a6b920d52d35ed964c25,Bee Tea Infuser,A73012,96,The Measure of Love Heart Measuring Spoon Set-Wht,0,0,25,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c50,60e5a6b920d52d35ed964c2b,Bird Salt Cellar,A93023,48,Love Dove Salt Cellar,10,22,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c51,60e5a6b920d52d35ed964c2b,Bistro Table Coaster Round (Set 2),A51022,100,Bistro Table Coaster Round (Set 2),2,32,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c52,60e5a6b920d52d35ed964c2b,Bistro Table Coaster Round (Set 4),A51023,48,Bistro Table Coaster Round (Set 4),7,-24,30,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c53,60e5a6b920d52d35ed964c2b,Black Polka Dot Change Purse,A72010,96,Posh Polka Dot Mini Change Purse,0,0,16,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c54,60e5a6b920d52d35ed964c2b,BLESS THIS DAY CROSS,A11006,72,CROSS PICTURE FRAME,0,0,28,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c55,60e5a6b920d52d35ed964c2b,Blue Pyramid Favor Box (Pack of 24),A21002,48,Blue Pyramid Favor Box (Pack of 24),5,20,11,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c56,60e5a6b920d52d35ed964c2b,Bracelet Rosary,A45001,96,Bracelet Rosary,6,39,30,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c57,60e5a6b920d52d35ed964c2b,Butterfly Kisses Scented Soaps,A75002,96,Butterfly Kisses Scented Soaps,10,1,12,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c58,60e5a6b920d52d35ed964c2b,BUTTON Cookie Cutters,A73002,96,Cute as a Button Cookie Cutter,3,20,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c59,60e5a6b920d52d35ed964c2b,Capture Eleg Mini Photo Frame Place Card Hldr,A11007,96,Capture Elegance Mini Photo Frame,0,16,19,5,0,0,0,0,,,,,,,
